Window_ID,Global_SampEn,Global_RMS,Mag_Var
1,-1.5928778839656306,-1.3004945864674,-2.1813806881580384
2,-0.2619685739716691,-0.9024261671039129,-0.9792862805507144
3,-1.7915841492472186,-0.5995032882475825,-0.970711070126847
4,-1.127132099843758,-0.39480051377494335,0.43123982871076383
5,-2.1102874760372705,-0.48011725986097203,-0.73244953763785
6,-1.6221736661922574,-0.40234850723172483,-1.4064917038078126
7,-2.2299666395780706,-0.3315934256303882,-0.9404219740787296
8,-2.5653232842139575,-0.4165192835087506,-1.289896884509768
9,-1.0080920546950878,-0.33826278805041793,-0.7600514459795277
10,0.26147992104306955,-0.3540527463263371,-1.1935819846443032
11,-1.2370757597846989,-0.2564006854860344,-0.761100968544298
12,-1.962059768358425,-0.27204412911767983,-1.049904681776501
13,-1.1995217059345051,-0.290514301132217,-0.8047418008146567
14,-2.122237039202763,0.2158730581131743,-0.7183664994487754
15,-0.463837057254567,0.29028599771062924,1.0508629581365427
16,-2.1700999126182237,-0.2173614907885611,-0.6028134788602149
17,-1.206115984175635,-0.18718836235095984,-1.0948142868285435
18,-1.9897554225417768,-0.2760338777987193,-1.3221509430009162
19,-3.2586685437111904,0.3541467250544046,-0.6510443317003813
20,-0.5867906602350761,-0.023774542619836695,-0.6490964511947798
21,-2.045221799517694,-0.2727501353596969,-0.9015016751830216
22,-1.2016848385922667,-0.3157046083271725,-0.9404873113811579
23,-1.6632481644744486,-0.22129973021337976,-0.6873853315822384
24,-1.6054304478345636,-0.13962782853351244,-0.6899959292163107
25,-1.3593225087948237,-0.14738725972016056,-0.7369891515047898
26,-2.501494100585185,-0.18989393271823662,-0.7725547955310632
27,-1.5278052504281692,-0.34199202756107816,-0.3934081675201503
28,-1.839847283077496,-0.27593512457048586,-0.3002500508675346
29,-2.4762992445098986,-0.1962665025241364,-0.23597098474325276
30,-2.924282976346067,-0.27663675672433474,-0.5721275799757676
31,-2.4238528112273974,-0.3677289177546754,-0.404492298466388
32,-2.0302347136595658,-0.22841905887725636,-0.32328914988688895
33,-1.8706187159304468,-0.23612500667742126,-0.4889784141826228
34,-1.6529506994602454,-0.21881458593569056,-0.4092324666699973
35,-2.038094698641648,-0.17530872164710162,-0.43653301555716895
36,-2.160163260620244,-0.2373388294658571,-0.13233875652125937
37,-1.2926293273608727,-0.19991568698523038,-0.04187364869645478
38,-1.924718359731867,-0.24537683418320969,-0.024039909991690665
39,-1.8684059764707344,-0.28554297289541963,-0.20370494038682777
40,-1.2779598745682768,-0.2930986025067496,0.0773399829089332
41,-1.3936548471599,-0.13760869091152558,-0.016372894417304686
42,-1.2623420182082488,0.651383833366664,0.04417669312607988
43,-0.17488846016777287,1.473805519265691,0.346626946849026
44,-0.5083161105828486,1.9130266686118256,0.6122257873965701
45,0.17734524203019655,2.4247726833625975,0.7041509648563647
46,0.5052534950842362,2.8600823008904,1.0175695859657603
47,1.0171024106111186,2.4790591361930012,1.2328753223207907
48,1.05981939713072,2.8799230527788042,1.2471580898126118
49,1.9903207143530595,3.2989709363586486,1.4097137377279632
50,1.2741211031966686,3.099363956534614,1.3762087025837684
51,1.7232598745264163,2.6262659148715297,1.230581811291867
52,2.404562192103584,2.9034818406629084,1.6196789500850566
53,1.3534328279699976,2.395200899029418,1.1099158953751114
54,1.2316943449658233,2.277597982824566,0.8161597002372641
55,1.4308907431059332,2.2332311739057618,0.8862097457855485
56,1.3678366200724723,2.1525141266406616,0.6938253944828308
57,0.8896689045701036,1.8691192055831836,0.6126835358856169
58,0.8704797780666835,1.8209493116267426,1.0015975706815394
59,0.67567431448889,1.4508706380381222,0.33819924660526834
60,-0.14758146209541648,1.1024668597382654,0.022811993110981633
61,-1.2999283825486345,0.6293905010404544,-0.1929105838048421
62,-0.778006502876162,0.1280972232003983,-0.2440147711337514
63,-1.9755060355566645,0.10851522983320161,-0.34672951615510095
64,-0.5325634471529977,-0.2928355560733771,-0.5585693738871852
65,-0.5183155265171612,-0.284789414432842,0.04098418613886835
66,0.34552466953358774,0.2552480493361777,0.9889914028800015
67,-1.154439509836298,0.14259436312807006,0.5884624926115367
68,0.16953311353611392,-0.1319660950764707,-0.6477669967507098
69,-0.8310307595259677,-0.3353138822032528,-0.2958903191545862
70,-1.2191261408628469,-0.21363427147491104,-0.6670509584547296
71,-1.7983773429551984,-0.37041172018659513,-0.9398584753483926
72,-1.6583193926596098,-0.34889249745448525,-0.7470254141166025
73,-0.8297427215621871,-0.5012494419830211,-0.8045812115755484
74,-1.457189375533806,-0.3287439149220987,-0.5715048525654387
75,-0.6810673540669965,-0.09754958419591614,0.6673720765231206
76,-0.6080812401201336,-0.3526121565305141,1.4386681655599718
77,-0.9224978571077824,-0.5971041626834334,1.1913430201868913
78,-1.0527537756479604,-0.49562701644035534,1.4163333679726338
79,-0.6513002976725842,-0.5963024033417658,1.4754158932884431
80,-0.8961747697341986,-0.6146060302622893,1.1837244803182276
81,-1.4058482514706307,-0.5356197031091169,0.9628887578065312
82,-0.6160609260174025,-0.6123533831160871,1.0856031488423554
83,-1.6327108759491935,-0.5350364128823165,1.2076672275955456
84,-0.7905545038564255,-0.46268275534540143,1.3022285359232493
85,-0.938302369046416,-0.6476121056505828,1.331927324053301
86,-1.34516935544447,-0.7243357959998197,1.4376625247773964
87,-1.1214729393230252,-0.8574741899713493,1.4642686423570848
88,-0.28895494945199124,-0.6911864331918606,1.7882322531609869
89,-1.0835095661704535,-0.3795725939607088,1.0403458785396595
90,0.16792139886235372,-0.3998324377448743,-1.6018327812766586
91,-1.806029004699814,0.5202548403635548,-0.834017582198568
92,0.6133294332503466,1.9455799365063682,-0.31999223082687805
93,0.3801588081453865,3.2984251063258543,0.12435204206974348
94,1.29528627061815,3.3017939017028386,-0.19991692640847517
95,0.7005707814231532,3.0006786277030075,-0.22999104403065848
96,0.9864966574133405,2.088541927981189,-0.46499042015732084
97,0.7683896210552679,2.087855882673799,-0.14312937092426214
98,1.2678828582888912,2.094254448037072,-0.24993951765070094
99,0.6047251253503887,1.9801754525124922,-0.39979690322324357
100,1.1948507474011536,1.9242902931625547,-0.47343233201714097
101,0.7474086090140483,1.7489839361766524,-0.766487238787903
102,0.008541410979327719,1.3623090634477113,-0.9299250128593641
103,-0.1848194954470492,1.2350251060907258,-1.1696223533601628
104,0.19725289548008484,1.0207263173392889,-1.6241764364958977
105,0.5647257679009176,0.975810566712382,-1.1014274465253961
106,0.4958428473151255,0.728502588002431,-1.4524142773812356
107,0.4516998243691427,0.9441008680454785,-1.3350352598908874
108,0.15629509546326242,0.495429729257377,-1.3789252825626857
109,1.1265959107203143,0.45770375128250224,-1.5427502500115151
110,-0.16800138153533292,0.3238576868449075,-2.0662773028471397
111,-0.7313007656614705,0.3575937551464602,2.4901151197088156
112,-0.30106268938455877,-0.43200842823609165,1.858268555218995
113,0.08343926821809584,-0.3979363413164796,1.6390794118821663
114,-0.6369301754001478,-0.38374375284914414,1.4236781676889612
115,-0.24053189797605862,-0.4158862453222673,1.6261163909850844
116,-0.6652893244269864,-0.43294694759402075,1.3915336719593188
117,-1.2580810238147278,-0.5334995870824226,1.489923955147728
118,-0.16219767873454455,-0.37753677762112126,1.5579232513279944
119,0.21411422647480513,-0.48154570657901613,1.71659159655428
120,-0.25484835286237245,-0.5143322356574974,1.779785871048419
121,-1.0588790280344538,-0.6498311080071959,1.9210724129285957
122,-0.8277403215293386,-0.6648143358827145,1.744749464795903
123,-0.22620073450069905,-0.5156224710619131,1.2612727990539987
124,-0.2293285124376662,-0.5487771573254823,1.1240484059829299
125,-0.5817153276654213,-0.6409010662111067,1.4715262061352308
126,-0.760495262045921,-0.3920527929704424,1.4637671325490216
127,-0.33450946121777103,-0.46086811187974563,1.7923320296826348
128,-1.609985030795414,-0.5113390338230988,1.2188574731864628
129,-1.3348558227247391,-0.5955556406481334,1.6789233739335276
130,-0.44547376476161776,-0.7335997086132393,1.9896792258601734
131,-0.5612390269092494,-0.6316049019197029,2.1761100966219926
132,-1.6015992142119944,-0.6567578161863955,1.7241695228293303
133,-0.7180731923473791,-0.6215408297116624,1.8144694860098554
134,-0.3306487205959568,-0.5150027018268193,1.7518339868581354
135,-0.016407398131249338,-0.4574963821675644,1.6546082334533456
136,-0.7607732818788292,-0.5349615601191164,1.7182294730986356
